% Infile: balm.in
% Rock: 1
%  (cpx) diopside                 :   4.50
%  (cpx) hedenbergite             :   0.50
%  (opx) enstatite                :  16.20
%  (opx) ferrosilite              :   1.80
%  (ol) fosterite                 :  67.50
%  (ol) fayalite                  :   7.50
%  (sp) spinel                    :   2.00
%P       T   alpha      rho     Cp      k_eff  kappa
 0.0000  275 2.7399e-05 3334.93  770.75  4.267 1.6600e-06 
 0.0000  300 2.8178e-05 3332.62  820.80  4.097 1.4976e-06 
 0.0000  325 2.8833e-05 3330.25  862.53  3.946 1.3738e-06 
 0.0000  350 2.9400e-05 3327.83  898.02  3.812 1.2756e-06 
 0.0000  375 2.9900e-05 3325.37  928.68  3.692 1.1955e-06 
 0.0000  400 3.0349e-05 3322.87  955.53  3.583 1.1285e-06 
 0.0000  425 3.0760e-05 3320.34  979.29  3.484 1.0716e-06 
 0.0000  450 3.1141e-05 3317.78 1000.54  3.394 1.0224e-06 
 0.0000  475 3.1497e-05 3315.19 1019.67  3.311 9.7956e-07 
 0.0000  500 3.1834e-05 3312.57 1037.04  3.235 9.4179e-07 
 0.0000  525 3.2155e-05 3309.93 1052.90  3.165 9.0824e-07 
 0.0000  550 3.2463e-05 3307.26 1067.46  3.101 8.7827e-07 
 0.0000  575 3.2760e-05 3304.57 1080.89  3.041 8.5135e-07 
 0.0000  600 3.3048e-05 3301.87 1093.34  2.986 8.2710e-07 
 0.0000  625 3.3328e-05 3299.13 1104.91  2.935 8.0518e-07 
 0.0000  650 3.3602e-05 3296.38 1115.72  2.888 7.8534e-07 
 0.0000  675 3.3870e-05 3293.61 1125.84  2.846 7.6740e-07 
 0.0000  700 3.4134e-05 3290.82 1135.34  2.807 7.5117e-07 
 0.0000  725 3.4393e-05 3288.01 1144.28  2.771 7.3653e-07 
 0.0000  750 3.4649e-05 3285.18 1152.73  2.739 7.2338e-07 
 0.0000  775 3.4902e-05 3282.33 1160.72  2.711 7.1162e-07 
 0.0000  800 3.5152e-05 3279.47 1168.29  2.686 7.0117e-07 
 0.0000  825 3.5400e-05 3276.59 1175.48  2.665 6.9198e-07 
 0.0000  850 3.5645e-05 3273.69 1182.32  2.647 6.8399e-07 
 0.0000  875 3.5889e-05 3270.77 1188.85  2.633 6.7714e-07 
 0.0000  900 3.6130e-05 3267.83 1195.07  2.622 6.7137e-07 
 0.0000  925 3.6371e-05 3264.88 1201.02  2.614 6.6664e-07 
 0.0000  950 3.6610e-05 3261.91 1206.72  2.609 6.6287e-07 
 0.0000  975 3.6848e-05 3258.92 1212.18  2.607 6.6001e-07 
 0.0000 1000 3.7084e-05 3255.92 1217.42  2.608 6.5799e-07 
 0.0000 1025 3.7320e-05 3252.90 1222.45  2.611 6.5673e-07 
 0.0000 1050 3.7555e-05 3249.86 1227.29  2.617 6.5615e-07 
 0.0000 1075 3.7789e-05 3246.81 1231.95  2.625 6.5617e-07 
 0.0000 1100 3.8022e-05 3243.74 1236.44  2.634 6.5670e-07 
 0.0000 1125 3.8255e-05 3240.66 1240.77  2.644 6.5764e-07 
 0.0000 1150 3.8487e-05 3237.56 1244.95  2.656 6.5891e-07 
 0.0000 1175 3.8718e-05 3234.44 1248.99  2.668 6.6042e-07 
 0.0000 1200 3.8949e-05 3231.31 1252.90  2.680 6.6208e-07 
 0.0000 1225 3.9180e-05 3228.17 1256.68  2.693 6.6379e-07 
 0.0000 1250 3.9410e-05 3225.00 1260.34  2.705 6.6550e-07 
 0.0000 1275 3.9639e-05 3221.83 1263.89  2.717 6.6713e-07 
 0.0000 1300 3.9868e-05 3218.63 1267.33  2.727 6.6861e-07 
 0.0000 1325 4.0097e-05 3215.42 1270.67  2.737 6.6990e-07 
 0.0000 1350 4.0326e-05 3212.20 1273.91  2.746 6.7095e-07 
