% Hanley, Dewitt & Roy [Engineering Geology, 1978]
% Temperature  Diffusivity
% Barre Granite
   298.06964   1.3711528e-06
   347.27075   1.2523468e-06
   383.11728   1.1883744e-06
   474.49077   1.0124502e-06
   570.78438   8.8450528e-07
   692.38141   7.4056729e-07
   746.50263   6.7887958e-07
   849.82497   6.4689336e-07
   893.40310   6.4917809e-07
   946.11857   6.9715742e-07
   993.21107   7.3599783e-07
% Westerly Granite
   298.77251   1.4054237e-06
   328.99605   1.2889025e-06
   420.36955   1.0627142e-06
   518.77177   8.9592893e-07
   641.77455   7.7026878e-07
   742.98827   6.9258796e-07
   799.21811   6.6288647e-07
   861.77381   6.4917809e-07
   954.55305   6.9487269e-07
   999.53693   7.5199094e-07
% Salem Limestone
   298.77251   1.1426798e-06
   332.51042   1.0101654e-06
   380.30578   8.6851217e-07
   427.39828   7.4742148e-07
   480.11375   6.4917809e-07
   537.04647   5.5321943e-07
   610.84814   4.8010807e-07
   705.03313   4.2755928e-07
   763.37159   3.9328833e-07
   839.28187   3.6130211e-07
   907.46056   3.3388535e-07
  1000.9427    3.2931589e-07
% Holston Marble
   298.06964   1.2089369e-06
   342.35064   1.0627142e-06
   389.44313   9.2791515e-07
   490.65685   6.9258796e-07
   608.73952   5.6464308e-07
   699.41014   5.1666375e-07
   771.10319   5.0980956e-07
   813.27557   5.1666375e-07
   852.63646   5.3265686e-07
   905.35194   5.3037213e-07
   957.36454   5.0067064e-07
  1001.6455    4.8010807e-07
% St. Cloud Granodiorite
   293.85240   1.2569000e-06
   369.05980   1.0833000e-06
   476.59940   9.1650000e-07
   584.13900   7.8170000e-07
   676.21530   7.1090000e-07
   787.97210   6.4690000e-07
   898.32320   5.9430000e-07
   999.53690   6.3780000e-07
% Dresser Basalt
   293.85240   1.2226000e-06
   351.48800   1.0993000e-06
   435.12990   9.9870000e-07
   524.39480   8.9360000e-07
   617.17400   8.2970000e-07
   705.73600   7.6110000e-07
   789.37790   7.0860000e-07
   888.48300   6.4920000e-07
   934.87260   6.1720000e-07
   999.53690   5.9660000e-07
