%,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,
%,KAN-3,NC-99,EK-105,K-37,K-43,KU-5,MP-98,98-46,98-78,98-39,KO2,316I,306I,98-43B,K-67,K-76,BG,WG,SCG,
% Min ID,Charnokite,Charnokite,Charnokite,Charnokite,Charnokite,Charnokite,Enderbite,Enderbite,Enderbite,Enderbite,Mafic Granulite,Mafic Granulite,Mafic Granulite,Orthogniess,Paragneiss,Paragneiss,Lherzolite,Lherzolite,Granite,Granite,Granite,
0,32.2,34.5,26.9,19.9,0.5,44.2,36,25.8,21.6,7.4,1.4,2,3,16.7,30.4,24.7,31,25,25 % Quartz
2,42.7,32,50.7,47.6,57,9.2,5,7.3,12.6,2,1.4,9.6,5.9,20.6,28.8,58.3,19,31,15 % K-feldspar
4,13.96,15.07,8.94,11.34,19.22,22.19,26.02,25.7,26.22,28.16,7.23,9.73,14.99,20.79,20.91,2.54,27.75,33.3,32 % Albite
5,3.64,3.73,2.26,3.16,5.88,10.91,7.98,10,10.38,8.84,14.77,17.77,18.61,9.11,4.79,0.86,9.25,3.7,8 % Anorthite
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5 % Muscovite
8,5.5,0,0,1.4,0.4,0,13.4,4,3.4,1,24,0,0.4,5.9,7.2,8.6,7,4,0 % Biotite
13,0,0,1.2,0,0,0,0,0,0.4,0,0,46.5,0.4,27,0,0,0,0,13 % Amphibole
17,0,0,0.33,0.23,0,0,0,0,0,0,6.99,1.08,19.36,0.2,0,0,0,0,0 % Diopside
18,0,0,1.25,1.61,0,0,0,0,0,0,5.54,0.96,17.85,0.19,0,0,0,0,0 % Hedenbergite
21,0.38,3.25,1.17,0.72,6.05,1.96,3.08,8.26,8.86,17.38,4.72,1.15,8.73,0.27,0,0,0,0,0 % Enstatite
22,0.62,8.45,4.45,4.93,9.45,2.54,3.52,9.94,13.94,18.62,3.74,1.02,8.05,0.24,0,0,0,0,0 % Ferrosillite
29,0,0,0,2.4,0,8.4,9,7,0.2,12,29.2,9,0,0,7,11,0,0,0 % Garnet
